Network Group Var,Network,Mobile OS,Mobile Device Type,Device,Device Group,VOD Episode,Linear Stream,Unique Viewers,Total Streaming,,,,,
Network Group (13. Network),NBC Entertainment,Unknown,Other,Roku,Connected Device," 1,389,583 ", -   ,"280,927"," 1,389,583 ",,,,,
Network Group (13. Network),NBC Entertainment,Unknown,Other,Fire TV,Connected Device," 842,508 ", 10 ,"108,267"," 842,518 ",,,,,
Network Group (13. Network),NBC Entertainment,Unknown,Other,Chromecast,Connected Device," 497,657 "," 17,254 ","50,647"," 514,911 ",,,,,
Network Group (13. Network),NBC Entertainment,Unknown,Other,Samsung TV,Connected Device," 120,852 ", -   ,"23,244"," 120,852 ",,,,,
Network Group (13. Network),NBC Entertainment,Unknown,Other,Xbox One,Connected Device," 70,154 ", -   ,"12,635"," 70,154 ",,,,,
Network Group (13. Network),NBC Entertainment,Unknown,Other,Xbox 360,Connected Device," 24,067 ", -   ,"3,534"," 24,067 ",,,,,
Network Group (13. Network),CNBC,Unknown,Other,Roku,Connected Device," 32,521 ", -   ,"7,058"," 32,521 ",,,,,
Network Group (13. Network),CNBC,Unknown,Other,Chromecast,Connected Device," 1,057 "," 1,772 ",575," 2,829 ",,,,,
Network Group (13. Network),Oxygen,Unknown,Other,Chromecast,Connected Device," 8,134 "," 2,783 ","1,364"," 10,917 ",,,,,
Network Group (13. Network),MSNBC,Unknown,Other,Chromecast,Connected Device," 14,327 "," 36,542 ","4,189"," 50,869 ",,,,,
Network Group (13. Network),NBC Universo,Unknown,Other,Chromecast,Connected Device," 5,232 ", 175 ,432," 5,407 ",,,,,
Network Group (13. Network),Sprout,Unknown,Other,Chromecast,Connected Device," 3,433 "," 1,526 ",916," 4,959 ",,,,,
Network Group (13. Network),Esquire,Unknown,Other,Chromecast,Connected Device, -   , -   ,0, -   ,,,,,
Network Group (13. Network),NBC Entertainment,Unknown,Other,Desktop,Desktop," 3,420,629 "," 121,637 "," 894,016 "," 3,542,266 ",,,,,
Network Group (13. Network),Bravo,Unknown,Other,Desktop,Desktop," 953,353 "," 28,451 "," 189,981 "," 981,804 ",,,,,
Network Group (13. Network),E!,Unknown,Other,Desktop,Desktop," 175,343 "," 4,993 "," 34,845 "," 180,336 ",,,,,
Network Group (13. Network),Syfy,Unknown,Other,Desktop,Desktop," 232,366 "," 7,432 "," 62,499 "," 239,798 ",,,,,
Network Group (13. Network),USA,Unknown,Other,Desktop,Desktop," 366,502 "," 33,172 "," 125,603 "," 399,674 ",,,,,
Network Group (13. Network),MSNBC,Unknown,Other,Desktop,Desktop," 132,999 "," 747,622 "," 119,158 "," 880,621 ",,,,,
Network Group (13. Network),Oxygen,Unknown,Other,Desktop,Desktop," 10,630 "," 1,113 "," 3,984 "," 11,743 ",,,,,
Network Group (13. Network),NBC News,Unknown,Other,Desktop,Desktop," 20,661 ", -   ," 11,390 "," 20,661 ",,,,,
Network Group (13. Network),CNBC,Unknown,Other,Desktop,Desktop," 58,255 "," 209,966 "," 46,522 "," 268,221 ",,,,,
Network Group (13. Network),Telemundo,Unknown,Other,Desktop,Desktop," 28,109 ", -   ," 3,934 "," 28,109 ",,,,,
Network Group (13. Network),NBC Universo,Unknown,Other,Desktop,Desktop," 5,551 ", 124 , 981 ," 5,675 ",,,,,
Network Group (13. Network),Esquire,Unknown,Other,Desktop,Desktop, 2 , -   , 1 , 2 ,,,,,
Network Group (13. Network),NBC Sports,Unknown,Other,Desktop,Desktop, 71 ," 110,185 "," 33,406 "," 110,256 ",,,,,
Network Group (13. Network),Golf Channel,Unknown,Other,Desktop,Desktop, 5 ," 56,060 "," 21,929 "," 56,065 ",,,,,
Network Var Placeholder,CNBC,Unknown,Other,Apple TV,Connected Device," 65,828 "," 117,394 ","28,172"," 183,222 ",,,,,
